District code,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households_with_Internet,Housholds_with_Electric_Lighting,State,Latitude,Longitude,sex_ratio,literacy_rate
4,Kargil,140802,77785,63017,86236,56301,29935,235,15824,Jammu and Kashmir,33.565994894894914,76.63675315315312,81.0,61.0
5,Punch,476835,251899,224936,261724,163333,98391,346,62900,Jammu and Kashmir,33.791241290322574,74.29593161290322,89.0,55.0
7,Kathua,616435,326109,290326,389204,228499,160705,1443,109422,Jammu and Kashmir,32.51781678321678,75.58901398601404,89.0,63.0
10,Srinagar,1236829,651124,585705,748584,431746,316838,16413,165403,Jammu and Kashmir,34.27312898550724,75.11021159420288,90.0,61.0
12,Pulwama,560440,293064,267376,293958,178326,115632,1537,73629,Jammu and Kashmir,33.88414418604652,75.00921860465118,91.0,52.0
16,Doda,409936,213641,196295,219083,138620,80463,596,61831,Jammu and Kashmir,33.359614675767915,76.07163720136518,92.0,53.0
19,Udhampur,554985,296784,258201,322354,197543,124811,1214,73999,Jammu and Kashmir,33.04770670731707,75.15286951219511,87.0,58.0
21,Jammu,1529958,813821,716137,1137135,641916,495219,19905,294739,Jammu and Kashmir,32.713199095022645,74.8477520361991,88.0,74.0
23,Chamba,519080,261320,257760,323842,186064,137778,1615,96082,Himachal Pradesh,32.66741814595661,76.39354063116366,99.0,62.0
24,Kangra,1510075,750591,759484,1152640,606443,546197,8053,330081,Himachal Pradesh,32.14093603238864,76.41205910931173,101.0,76.0
26,Kullu,437903,225452,212451,307672,174550,133122,2623,91322,Himachal Pradesh,31.90911922077925,77.40922649350647,94.0,70.0
27,Mandi,999777,498065,501712,723747,393669,330078,5333,214491,Himachal Pradesh,31.635805940594054,76.96556930693067,101.0,72.0
28,Hamirpur,454768,217070,237698,358091,180555,177536,2521,104120,Himachal Pradesh,31.67668481012659,76.49767088607594,110.0,79.0
28,Hamirpur,454768,217070,237698,358091,180555,177536,2521,104120,Uttar Pradesh,25.738158381502892,79.82619479768789,110.0,79.0
168,Hamirpur,1104285,593537,510748,653299,408125,245174,1196,55929,Himachal Pradesh,31.67668481012659,76.49767088607594,86.0,59.0
168,Hamirpur,1104285,593537,510748,653299,408125,245174,1196,55929,Uttar Pradesh,25.738158381502892,79.82619479768789,86.0,59.0
29,Una,521173,263692,257481,399715,213281,186434,2412,105929,Himachal Pradesh,31.58330388349513,76.18353932038836,98.0,77.0
30,Bilaspur,381956,192764,189192,287620,155599,132021,1574,79146,Chhattisgarh,22.356942982456143,81.99770350877188,98.0,75.0
30,Bilaspur,381956,192764,189192,287620,155599,132021,1574,79146,Himachal Pradesh,31.3780422907489,76.65316079295157,98.0,75.0
406,Bilaspur,2663629,1351574,1312055,1596560,932474,664086,8566,519704,Chhattisgarh,22.356942982456143,81.99770350877188,97.0,60.0
406,Bilaspur,2663629,1351574,1312055,1596560,932474,664086,8566,519704,Himachal Pradesh,31.3780422907489,76.65316079295157,97.0,60.0
